행정동_코드,예측값,실제값,오차,오차퍼센트,2019년_매출_금액,2021년_매출_금액,2020년_매출_금액,2022년_매출_금액,2023년_예측_매출_금액
11230650,1435218068.0,1375781370,59436697.58,4.320213871,2074510323.0,1580579313.0,1732735977.0,1379395452,1132429947.0
11260680,1127214552.0,1073670816,53543736.47,4.986978846,979099935.0,1310723067.0,972820953.0,1197221427,1363032993.0
11260565,1526319115.0,1702698852,-176379736.8,10.35883337,1675865082.0,1978257447.0,2178292320.0,1811088900,1962285082.5
11410720,1294277509.0,1276127388,18150121.42,1.422281317,1234285122.0,1346279748.0,1348624806.0,1228280004,1284277316.9999995
11320700,729947743.9,745677174,-15729430.11,2.10941553,880937394.0,763790112.0,930229095.0,824650272,766076631.0
11440565,1904609712.0,1966104822,-61495110.4,3.127763571,2580324072.0,2927220039.0,2773330698.0,3256133691,3429581674.5
11305555,1714707227.0,1812653796,-97946569.0,5.403490132,2884664367.0,1895726202.0,2564802504.0,1799258079,1304788996.5
11530740,795104805.3,727096149,68008656.29,9.353461215,1255066392.0,954424866.0,1159993299.0,833344617,683023854.0
11530550,2094344597.0,2134667955,-40323357.61,1.888975637,2763956991.0,2227961799.0,3003152010.0,2159259879,1891262283.0
11230545,2551266279.0,2475860553,75405725.84,3.045637031,3339827727.0,3300348294.0,3218502036.0,2535674922,2515935205.5
11650540,2478514400.0,2315131047,163383352.9,7.057196745,4521013461.0,2734485774.0,4096959051.0,2661954351,1768690507.5
11545620,1233838853.0,1132957653,100881200.3,8.904233978,1125787053.0,1689148173.0,1305657960.0,1400643324,1682323884.0
11350665,726031388.7,568557492,157473896.7,27.69709289,671449860.0,616571550.0,828083415.0,566111004,538671849.0
11230740,3428015439.0,3417544467,10470971.71,0.306388748,3814404381.0,3062616615.0,3426314691.0,3245384877,2869490994.0
11500611,5199074919.0,5249176572,-50101653.36,0.954466909,7584310356.0,5306060769.0,8414643081.0,6323606679,5184481885.5
11740650,1778529389.0,1722210312,56319077.48,3.270162598,1932304806.0,1568750688.0,1705495815.0,1602007722,1420230663.0
11215750,875095094.3,839972964,35122130.28,4.181340565,1379076771.0,1312249554.0,1200955437.0,1022859768,989446159.5
11590560,817989532.0,792633357,25356175.03,3.19897905,216000000.0,216000000.0,216000000.0,216000000,216000000.0
11320690,3981819239.0,3977119470,4699768.572,0.118170163,4036176048.0,5095577565.0,4564658610.0,4752253434,5281954192.5
11200670,3884016532.0,3917143221,-33126689.06,0.845684908,3583649640.0,4118089818.0,3822076515.0,5038643553,5305863642.0
11140570,1666667836.0,1622952822,43715014.32,2.693548064,1173475260.0,1261577781.0,882930252.0,1527123708,1571174968.5
11320514,961423004.1,941604945,19818059.13,2.104710605,602936568.0,508066311.0,921816630.0,424875303,377440174.5
11215830,1504225682.0,1381866105,122359576.7,8.854662276,2952689460.0,1914662196.0,2573979651.0,1538137230,1019123598.0
11590620,3189726099.0,2688752985,500973114.2,18.63217324,3122419077.0,2586119856.0,2370604569.0,3299054790,3030905179.5
11380530,1033635688.0,1051832493,-18196804.58,1.73000974,946892451.0,924007992.0,1171504566.0,1062051144,1050608914.5
11620615,2851187767.0,2772157881,79029885.68,2.850843605,2858218149.0,2358048036.0,2687580495.0,2336745414,2086660357.5
11230570,1693408332.0,1807734684,-114326351.8,6.324288227,1959202089.0,1747101843.0,1639478823.0,1889873103,1783822980.0
11215740,841245004.6,818861007,22383997.55,2.733552747,1198412997.0,837084504.0,1263874200.0,869161197,688496950.5
11680531,9914608835.0,8206816005,1707792830.0,20.8094446,8924893539.0,5115540738.0,7592833200.0,7666741542,5762065141.5
11260540,991452877.9,1124782617,-133329739.1,11.85382287,2146290852.0,1057455531.0,1787180931.0,915675843,371258182.5
11170685,5642425043.0,5083524633,558900409.8,10.99434841,4149123816.0,3150764742.0,3879867006.0,4342244346,3843064809.0
11560720,1011381740.0,937752015,73629725.08,7.851726672,2319510252.0,1436979510.0,2299329135.0,1058321250,617055879.0
11470580,774843178.9,582172608,192670570.9,33.09509384,868971450.0,610066008.0,996671088.0,470414121,340961400.0
11440730,4310071096.0,4556159457,-246088360.7,5.401223619,973770105.0,2615159352.0,1027719276.0,3838854465,4659549088.5
11350630,2626251283.0,2576412876,49838407.43,1.934410742,2282608197.0,2479147806.0,2203930866.0,2536062984,2634332788.5
11740520,3171042956.0,3130453473,40589483.5,1.296600759,1401677883.0,1514622591.0,1502829240.0,1432619217,1489091571.0
11260620,2368186044.0,2325404838,42781206.16,1.839731537,1428746688.0,1504345701.0,1629672366.0,2271686688,2309486194.5
11215820,3205213143.0,3158040396,47172746.81,1.49373475,5169013521.0,2566956921.0,4213075518.0,2080276116,779247816.0
11545640,1252771529.0,1218814965,33956564.4,2.786031135,1302748854.0,1043113275.0,1325410029.0,1197555366,1067737576.5
11740640,2063448552.0,1998162711,65285841.46,3.267293554,1174025400.0,1709891760.0,1256107668.0,1641426228,1909359408.0
11215760,2441311924.0,2462179722,-20867798.18,0.847533508,2255287395.0,2083110693.0,2106184647.0,2391156153,2305067802.0
11440720,2172874378.0,2175651006,-2776627.845,0.127622851,6363127551.0,3210720402.0,5093893638.0,2577249999,1001046424.5
11620585,4544638391.0,4396399929,148238462.2,3.371814771,2449317549.0,2098630560.0,2902638759.0,2819859870,2644516375.5
11500640,2198648719.0,1745047527,453601192.2,25.9936297,1831704636.0,2458553598.0,3226440171.0,2003521953,2316946434.0
11545630,1161679610.0,1128207714,33471896.48,2.966820388,1532811066.0,1260223716.0,1508661309.0,1272779358,1136485683.0
11500593,2397229535.0,2509467807,-112238271.5,4.472592603,3053834367.0,2462007234.0,2875951443.0,2259067707,1963154140.5
11290575,5905092496.0,6191458860,-286366363.5,4.625183983,9358786497.0,6023422089.0,7838739525.0,6121600518,4453918314.0
11380570,6049625407.0,7054114119,-1004488712.0,14.23975704,7149615861.0,6399147633.0,6215499234.0,7245527550,6870293436.0
11215850,2103127201.0,2101452363,1674838.416,0.0796990903,2968765386.0,1926156216.0,2368866042.0,1668119943,1146815358.0
11710646,1550458282.0,1521874401,28583880.57,1.878202337,1989381126.0,1830409983.0,2120328783.0,1683798618,1604313046.5
11110550,2627208656.0,2706449520,-79240863.56,2.927853004,978900819.0,2109920055.0,1767956955.0,2021874990,2587384608.0
11440585,3281093598.0,3221511537,59582061.08,1.84950637,1709841942.0,3628611069.0,1582892949.0,3686227797,4645612360.5
11470540,3483315480.0,3432571974,50743505.62,1.478294002,4051725117.0,2885436912.0,3446938533.0,3392321952,2809177849.5
11545610,5818265280.0,6121168242,-302902961.7,4.948450193,481553073.0,3112593882.0,456195801.0,5852093523,7167613927.5
11500591,2498584446.0,2613437106,-114852660.4,4.3946977,3577547250.0,3193892139.0,3318714255.0,2983688019,2791860463.5
11500510,1917437408.0,1834610340,82827068.44,4.51469539,1683080550.0,1288308108.0,1495717113.0,1539029418,1341643197.0
11710641,1231876050.0,1225558545,6317505.051,0.515479662,3130199235.0,2379122649.0,2573434023.0,2027854323,1652316030.0
11740580,1207508868.0,1150226373,57282494.86,4.980106195,1350048753.0,1187100213.0,1382497572.0,1183647375,1102173105.0
11560700,1586931855.0,1597918875,-10987019.52,0.687583061,2265381555.0,1893584814.0,2206199658.0,1462960173,1277061802.5
